,Year,Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Environmental Intensity (Sales),Environmental Intensity (Op Inc),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,% Imputed
2191,2018,COMPANIA CERVECERIAS UNIDAS,CHILE,Brewers,Manufacture of beverages,-6.031112199367444,-44.96536650009205,-154989009.29010892,-63708558.074068226,-14004.765118929205,-741577.1152027464,-171743.91530246747,-59504.64066961722,-69882.03367685433,-90220627.34693319,-3111.3991368497605,-24626644.550658986,-13810636.440060316,-13794875.940388225,-185344.26480775708,-185546.08021725467,-2216186.0852961373,-9794828.688919866,-15067.044238759787,-90220627.34693319,-69882.03367685432,-107.77358975540162,-495.2149087844943,-6132.439005527835,-128.45852727523803,-1555.6995684248802,-58574.371446885496,-2376.8578649007227,0.09016961069510744
2194,2018,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-4.448054335215146,-36.11562573019681,-479037659.68533045,-314288112.60060614,-82227.44828859688,-4172960.267312464,-972330.4722718161,-14207.37108812675,-78966.40449485666,-159459754.5118205,30899.390552133023,-139802396.21052322,-88101117.90989958,-88033723.8508408,-1043240.066828116,-1043240.066828116,-14300695.415357925,12860278.603777671,-10548.581281787676,-159459754.5118205,-78966.40449485666,-1133.221992597336,-332.86689451809383,-39277.76489173094,-1350.7207895306135,15449.695276066512,15449.695276066512,-13060.087216789156,0.08398033616757988
2195,2018,ANHEUSER-BUSCH INBEV,BELGIUM,Brewers,Manufacture of beverages,-4.237516451823124,-13.517632933192806,-1964330053.245122,-1779314210.7129893,-437578.0171100892,-23916901.297224592,-5529667.878366179,-77455.1655387353,-196534.33928159485,-154957792.43483922,100086.60022779221,-794472048.3877462,-483123726.6384938,-482492748.9009474,-5979221.380017166,-5979397.16889316,-78136646.64301656,41214404.39780646,-10328.048219429933,-154957792.43483922,-196534.33928159485,-3457.195797606828,-287.744784724077,-214279.55702652072,-4120.733861335044,50043.300113896104,50043.300113896104,-73955.07023123116,0.06581813663061685
2198,2018,CARLSBERG A/S,DENMARK,Brewers,Manufacture of beverages,-2.76532599672447,-19.196042955716297,-265095100.56193465,-218704351.50133514,-61976.147936668865,-2860535.568184096,-670168.5330757981,-10257.483443843861,-355386.859144463,-42458982.46550061,26557.996686016486,-96424259.33910371,-63672983.40567642,-63634561.09553633,-715110.847969253,-715413.5670015757,-10379141.363690803,13310509.61488648,-35223.653055160714,-42458982.46550061,-355386.859144463,-1070.71939,-279.9611669238685,-29305.19642694863,-1276.2220899999998,13278.998343008243,13161.42241742239,-9055.901829258006,0.02853467137791971
2201,2018,HEINEKEN NV,NETHERLANDS,Brewers,Manufacture of beverages,-2.0153591844104355,-13.612003676852089,-518491333.1955564,-443271877.02947044,-114770.81694440162,-5939257.460174283,-1380062.5094369831,-19893.527917312458,-189751.0735057722,-67615274.49638663,39553.71827963599,-198408183.89825228,-124370185.3410527,-124249107.47742061,-1484814.3650435708,-1484814.3650435708,-20175431.535931185,19536222.968614925,-12349.185195791182,-67615274.49638663,-189751.0735057722,-1396.4183686652973,-161.58354169104172,-55495.92864893222,-1664.4323299052387,19776.859139817996,19776.859139817996,-18479.781729473943,0.08875616477375245
2202,2018,HEINEKEN HOLDING NV,NETHERLANDS,Brewers,Manufacture of beverages,-1.9998003455680362,-12.905661563830941,-514488511.6852407,-443271877.02947044,-114770.81694440162,-5939257.460174283,-1380062.5094369831,-19893.527917312458,-189751.0735057722,-63612452.98607094,39553.71827963599,-198408183.89825228,-124370185.3410527,-124249107.47742061,-1484814.3650435708,-1484814.3650435708,-20175431.535931185,19536222.968614925,-12349.185195791182,-63612452.98607094,-189751.0735057722,-1396.4183686652973,-161.58354169104172,-55495.92864893222,-1664.4323299052387,19776.859139817996,19776.859139817996,-18479.781729473943,0.08934125606639211
2204,2018,KIRIN HOLDINGS CO LTD,JAPAN,Brewers,Manufacture of beverages,-1.749271701448852,-18.743762751360908,-307793824.5679543,-294415074.9008806,-71169.64013258023,-3915365.2068478055,-914855.3027642329,-12680.166926005964,-37797.88179898283,-8438730.226979949,11848.75837595989,-131414125.15994272,-79039341.69546875,-78989347.94476637,-978841.3017119514,-978841.3017119514,-12776606.569609495,4900737.308711732,-4568.466722603276,-8438730.226979949,-37797.88179898283,-454.56052,-109.80132648201126,-34883.95448856709,-541.80412,5924.379187979945,5924.379187979945,-12219.965874005966,0.011946760243802267
2207,2018,ASAHI GROUP HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.5360463819552943,-15.269944202818625,-296843590.5565651,-271673837.20960546,-63141.01584037123,-3600398.8068205407,-840891.128408287,-11399.240729282346,-41513.3878802972,-20615504.858903334,3095.0916225613446,-120731702.83674867,-70868557.93196407,-70821162.1053232,-900099.7017051352,-900099.7017051352,-11429043.532973362,-491074.59580078465,-5017.543895244511,-20615504.858903334,-41513.3878802972,-163.68349,-120.59472221910455,-31196.54775585696,-195.09919000000002,1547.5458112806723,1547.5458112806723,-11233.526130282347,0.014373448911674367
3814,2017,COMPANIA CERVECERIAS UNIDAS,CHILE,Brewers,Manufacture of beverages,-5.3127509079985895,-39.543843293246084,-146714356.53611988,-61539455.33411139,-13447.837237034239,-699347.2806418892,-163575.2921148101,-63646.353002829084,-75095.7224766275,-84155890.30162434,-3898.4149109124805,-23450631.130000416,-13040826.096587375,-13034720.781711152,-174783.07477363438,-174999.9470251378,-2091920.9566765549,-10425294.759757953,-16191.151189575772,-84155890.30162434,-75095.72247662749,-97.0413755117035,-532.1444703723121,-5811.239592124431,-115.66648388801576,-1949.2074554562403,-63221.871315966644,-2275.4436037690184,0.09880996203256684
3815,2017,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-4.381103283206339,-27.92192029915588,-482044032.0446271,-321020176.63059336,-83991.18120114521,-4262343.617929466,-993156.0457619539,-14511.95654951335,-80676.30695439097,-155620744.77748075,31568.471843616226,-142796764.90945056,-89989721.90648934,-89920876.9186041,-1065585.9044823665,-1065585.9044823665,-14607278.586720059,13138749.203465763,-10776.995443401189,-155620744.77748075,-80676.30695439097,-1157.7602640905855,-340.0746422340368,-40119.876324819605,-1379.9686806424968,15784.235921808113,15784.235921808113,-13339.829917182225,0.0850902952154159
